function;ncalls;tottime
calc_vertices;73;0.63125
calc_vertices>douglas_peucker;18145;0.273611111111111
calc_vertices>point_to_line_distance;26256;0.16875
filter2;146;0.243055555555556
cross;26256;0.158333333333333
bwboundaries;73;0.129166666666667
mean;17366;0.084
calc_vertices>init_reduction;73;0.0868055555555556
bwlabel;73;0.042
ipermute;24767;0.090
readAscImage;73;0.075
calc_vertices>findBackground;73;0.028
images\private\labelBinaryRuns;73;0.061
calc_vertices>line_intersection;4295;0.042
medfilt2;73;0.009
firstNonSingletonDim;17366;0.026
mean>mysize;17366;0.024
imhist;73;0.007
stringToChar;146;0.013
calc_vertices>triangle_th;73;0.012
im2bw;73;0.009
unique;146;0.010
validatestring;219;0.005
...rtices>line_intersection/get_point_slope;8590;0.013
ismember;490;0.003
ismember>ismemberR2012a;490;0.003
imhist>parse_inputs;73;0.006
getrangefromclass;146;0.005
medfilt2>parse_inputs;73;0.006
validatestring>checkString;219;0.006
stringToChar>@(x)convertToChar(x);365;0.003
im2bw>parse_inputs;73;0.004
unique>uniqueR2012a;146;0.004
sortrows;73;0.003
rot90;146;0.003
medfilt2>hUseIPPL;73;0.002
ismember>ismemberBuiltinTypes;490;0.003
mustBeNonzeroLengthText;219;0.001
validatestring>checkInputs;219;0.003
stringToChar>convertToChar;365;0.002
linspace;73;0.002
validators\private\istext;219;0.001
errorIfgpuArray;146;0.001
useIPPLibrary;73;0.001
getrangefromclass>iGetClass;146;0.001
fliplr;73;0.001
validators\private\isCharRowVector;219;0.001
errorIf;73;0.000
sortrows>canCallBuiltinHelper;73;0.000